start_time,end_time,duration,asleep,soothing
2020-04-07T02:56:19,2020-04-07T04:04:34,4095,4095,0
2020-04-07T04:41:36,2020-04-07T07:15:41,9245,9080,165
2020-04-07T20:34:55,2020-04-08T04:20:12,27917,27917,0
2020-04-08T05:13:11,2020-04-08T06:08:12,3301,3301,0
2020-04-08T19:58:48,2020-04-08T20:03:46,298,298,0
2020-04-08T20:22:32,2020-04-09T03:16:45,24853,24853,0
2020-04-09T04:12:24,2020-04-09T06:59:34,10030,10030,0
2020-04-09T16:30:22,2020-04-09T16:30:33,11,11,0
2020-04-09T21:00:52,2020-04-10T03:43:29,24157,24157,0
2020-04-10T04:36:54,2020-04-10T05:28:21,3087,3087,0
2020-04-10T05:55:45,2020-04-10T05:57:41,116,116,0
2020-04-10T06:06:11,2020-04-10T06:55:23,2952,2952,0
2020-04-10T13:19:29,2020-04-10T13:20:52,83,83,0
2020-04-10T13:45:14,2020-04-10T13:56:31,677,374,303
2020-04-10T20:32:21,2020-04-11T00:38:02,14741,14741,0
2020-04-11T01:22:54,2020-04-11T04:40:54,11880,11880,0
2020-04-11T05:24:44,2020-04-11T06:20:08,3324,3161,163
2020-04-11T20:48:53,2020-04-12T03:48:27,25174,25174,0
2020-04-12T04:32:03,2020-04-12T06:57:52,8749,8749,0
2020-04-12T20:14:10,2020-04-12T23:55:03,13253,13253,0
2020-04-13T00:48:09,2020-04-13T04:37:31,13762,13734,28
2020-04-13T05:26:19,2020-04-13T06:22:52,3393,3344,49
2020-04-13T10:20:51,2020-04-13T11:00:42,2391,2391,0
2020-04-13T13:06:26,2020-04-13T13:48:16,2510,2510,0
2020-04-13T15:43:41,2020-04-13T16:35:07,3086,3086,0
2020-04-13T18:47:51,2020-04-13T18:57:24,573,573,0
2020-04-13T20:19:35,2020-04-14T01:14:28,17693,17693,0
2020-04-14T01:50:57,2020-04-14T04:47:46,10609,10609,0
2020-04-14T05:12:46,2020-04-14T06:28:38,4552,4552,0
2020-04-14T08:10:01,2020-04-14T08:53:19,2598,2598,0
2020-04-14T10:36:46,2020-04-14T11:36:51,3605,3605,0
2020-04-14T13:27:32,2020-04-14T14:17:17,2985,2985,0
2020-04-14T16:17:34,2020-04-14T16:55:30,2276,2276,0
2020-04-14T19:43:33,2020-04-14T19:48:58,325,325,0
2020-04-14T20:03:18,2020-04-15T02:01:12,21474,21474,0
2020-04-15T02:51:56,2020-04-15T05:48:47,10611,10611,0
2020-04-15T06:36:33,2020-04-15T07:45:19,4126,4126,0
2020-04-15T09:27:49,2020-04-15T09:57:55,1806,1806,0
2020-04-15T11:49:18,2020-04-15T12:35:00,2742,2742,0
2020-04-15T14:17:10,2020-04-15T14:18:24,74,74,0
2020-04-15T14:33:25,2020-04-15T15:07:09,2024,2024,0
2020-04-15T17:05:10,2020-04-15T17:42:29,2239,2239,0
2020-04-15T20:04:56,2020-04-15T20:09:40,284,284,0
2020-04-15T20:25:03,2020-04-16T01:56:37,19894,19894,0
2020-04-16T02:44:50,2020-04-16T05:39:13,10463,10463,0
2020-04-16T06:26:02,2020-04-16T07:13:55,2873,2873,0
2020-04-16T08:51:34,2020-04-16T09:00:47,553,472,81
2020-04-16T09:17:32,2020-04-16T09:56:33,2341,2341,0
2020-04-16T11:43:58,2020-04-16T11:45:59,121,121,0
2020-04-16T11:52:00,2020-04-16T12:29:05,2225,2225,0
2020-04-16T13:51:35,2020-04-16T14:01:14,579,12,567
2020-04-16T14:22:53,2020-04-16T14:57:45,2092,1688,404
2020-04-16T16:35:43,2020-04-16T17:17:48,2525,2525,0
2020-04-16T20:05:37,2020-04-17T04:01:41,28564,28564,0
2020-04-17T04:59:50,2020-04-17T07:03:56,7446,7446,0
2020-04-17T08:52:53,2020-04-17T08:59:03,370,358,12
2020-04-17T09:07:51,2020-04-17T09:53:47,2756,2738,18
2020-04-17T11:49:36,2020-04-17T11:50:23,47,47,0
2020-04-17T11:57:09,2020-04-17T12:41:25,2656,2656,0
2020-04-17T14:29:42,2020-04-17T15:16:53,2831,2704,127
2020-04-17T20:31:21,2020-04-17T21:40:13,4132,4132,0
2020-04-17T22:01:58,2020-04-17T22:09:06,428,393,35
2020-04-17T22:19:35,2020-04-18T03:40:15,19240,19240,0
2020-04-18T04:39:35,2020-04-18T07:10:55,9080,9080,0
2020-04-18T08:57:03,2020-04-18T10:49:31,6748,6748,0
2020-04-18T12:26:20,2020-04-18T12:30:40,260,260,0
2020-04-18T12:36:38,2020-04-18T13:23:10,2792,2792,0
2020-04-18T14:59:20,2020-04-18T15:33:03,2023,2023,0
2020-04-18T17:05:14,2020-04-18T17:13:40,506,506,0
2020-04-18T17:18:30,2020-04-18T18:27:25,4135,4135,0
2020-04-18T20:36:17,2020-04-19T02:32:38,21381,21381,0
2020-04-19T03:36:37,2020-04-19T06:23:43,10026,10026,0
2020-04-19T08:26:07,2020-04-19T09:11:00,2693,2693,0
2020-04-19T11:21:05,2020-04-19T12:01:45,2440,2440,0
2020-04-19T13:52:28,2020-04-19T14:36:16,2628,2628,0
2020-04-19T16:43:37,2020-04-19T17:24:40,2463,2463,0
2020-04-19T20:17:05,2020-04-20T02:02:07,20702,20702,0
2020-04-20T02:56:56,2020-04-20T04:57:04,7208,7208,0
2020-04-20T05:44:58,2020-04-20T06:28:15,2597,2597,0
2020-04-20T08:27:35,2020-04-20T09:03:10,2135,2135,0
2020-04-20T10:57:58,2020-04-20T11:32:49,2091,2091,0
2020-04-20T13:28:00,2020-04-20T14:10:35,2555,2555,0
2020-04-20T16:13:22,2020-04-20T16:46:20,1978,1978,0
2020-04-20T19:50:21,2020-04-20T19:51:01,40,40,0
2020-04-20T20:02:20,2020-04-20T20:50:16,2876,2876,0
2020-04-20T21:03:49,2020-04-21T02:09:24,18335,18335,0
2020-04-21T02:57:13,2020-04-21T03:56:59,3586,3586,0
2020-04-21T04:21:26,2020-04-21T04:59:01,2255,2255,0
2020-04-21T05:34:23,2020-04-21T06:17:04,2561,2561,0
2020-04-21T08:21:40,2020-04-21T09:01:29,2389,2389,0
2020-04-21T10:59:40,2020-04-21T11:50:24,3044,3044,0
2020-04-21T13:50:06,2020-04-21T14:31:10,2464,2464,0
2020-04-21T16:43:59,2020-04-21T17:22:25,2306,2306,0
2020-04-21T20:03:42,2020-04-21T20:55:03,3081,3081,0
2020-04-21T21:07:46,2020-04-21T21:08:09,23,23,0
2020-04-21T21:17:56,2020-04-21T21:41:11,1395,1395,0
2020-04-21T21:41:47,2020-04-21T21:42:27,40,40,0
2020-04-21T21:43:57,2020-04-21T21:45:57,120,120,0
2020-04-21T22:04:47,2020-04-22T03:52:14,20847,20847,0
2020-04-22T04:48:08,2020-04-22T05:30:02,2514,2514,0
2020-04-22T06:47:48,2020-04-22T07:26:27,2319,2319,0
2020-04-22T09:06:14,2020-04-22T09:56:11,2997,2997,0
2020-04-22T11:48:17,2020-04-22T11:49:36,79,79,0
2020-04-22T12:07:21,2020-04-22T12:36:17,1736,1628,108
2020-04-22T14:23:28,2020-04-22T15:07:22,2634,2518,116
2020-04-22T15:07:30,2020-04-22T15:07:45,15,15,0
2020-04-22T15:08:55,2020-04-22T15:09:06,11,11,0
2020-04-22T16:50:37,2020-04-22T17:25:29,2092,2092,0
2020-04-22T19:24:10,2020-04-22T19:25:16,66,66,0
2020-04-22T19:44:45,2020-04-22T19:46:04,79,79,0
2020-04-22T21:13:04,2020-04-23T05:42:07,30543,30543,0
2020-04-23T09:48:26,2020-04-23T10:28:30,2404,2404,0
2020-04-23T12:09:26,2020-04-23T12:56:33,2827,2827,0
2020-04-23T17:00:15,2020-04-23T17:03:33,198,198,0
2020-04-23T19:35:45,2020-04-23T22:43:32,11267,11267,0
2020-04-23T23:37:53,2020-04-24T03:41:45,14632,14632,0
2020-04-24T04:36:54,2020-04-24T06:39:15,7341,7341,0
2020-04-24T11:41:09,2020-04-24T12:21:22,2413,2413,0
2020-04-24T16:52:11,2020-04-24T17:29:46,2255,2255,0
2020-04-24T20:08:43,2020-04-25T04:55:32,31609,31609,0
2020-04-25T05:51:11,2020-04-25T07:05:16,4445,4445,0
2020-04-25T09:05:20,2020-04-25T09:11:02,342,342,0

