id,Start Time,End Time,Notes,Approximate Duration (Minutes)
308,11:45AM 03-15-2020,1:25PM 03-15-2020,,100
309,4:00PM 03-15-2020,4:30PM 03-15-2020,,30
310,6:00PM 03-15-2020,6:45PM 03-15-2020,,45
311,10:15PM 03-15-2020,5:00AM 03-16-2020,,405
312,5:45AM 03-16-2020,6:40AM 03-16-2020,,55
313,9:10AM 03-16-2020,11:42AM 03-16-2020,,151
315,2:25PM 03-16-2020,2:40PM 03-16-2020,,15
314,2:55PM 03-16-2020,3:23PM 03-16-2020,,28
316,3:45PM 03-16-2020,4:40PM 03-16-2020,,54
317,7:50PM 03-16-2020,9:27PM 03-16-2020,,96
318,10:00PM 03-16-2020,1:15AM 03-17-2020,,195
319,2:23AM 03-17-2020,5:58AM 03-17-2020,,215
320,11:10AM 03-17-2020,1:16PM 03-17-2020,,126
321,3:45PM 03-17-2020,4:29PM 03-17-2020,,44
322,8:10PM 03-17-2020,9:25PM 03-17-2020,,75
323,9:45PM 03-17-2020,6:00AM 03-18-2020,,495
324,11:15AM 03-18-2020,1:37PM 03-18-2020,,141
325,6:15PM 03-18-2020,9:27PM 03-18-2020,,191
326,10:15PM 03-18-2020,3:10AM 03-19-2020,,295
327,4:10AM 03-19-2020,6:55AM 03-19-2020,,165
328,11:20AM 03-19-2020,12:40PM 03-19-2020,,80
329,3:05PM 03-19-2020,5:21PM 03-19-2020,,136
330,7:52PM 03-19-2020,9:25PM 03-19-2020,,92
331,9:50PM 03-19-2020,1:00AM 03-20-2020,,190
332,2:10AM 03-20-2020,5:57AM 03-20-2020,,227
333,10:10AM 03-20-2020,12:41PM 03-20-2020,,151
334,5:20PM 03-20-2020,5:58PM 03-20-2020,,38
335,9:10PM 03-20-2020,9:35PM 03-20-2020,,25
336,10:30PM 03-20-2020,11:30PM 03-20-2020,,60
337,12:27AM 03-21-2020,1:02AM 03-21-2020,,35
338,1:50AM 03-21-2020,2:35AM 03-21-2020,,45
339,3:45AM 03-21-2020,4:25AM 03-21-2020,,40
340,5:30AM 03-21-2020,8:15AM 03-21-2020,,165
341,11:00AM 03-21-2020,11:45AM 03-21-2020,,45
342,3:25PM 03-21-2020,4:18PM 03-21-2020,,53
343,5:55PM 03-21-2020,6:30PM 03-21-2020,,35
344,7:20PM 03-21-2020,9:32PM 03-21-2020,,132
345,10:18PM 03-21-2020,1:22AM 03-22-2020,,184
346,2:10AM 03-22-2020,3:06AM 03-22-2020,,56
347,4:00AM 03-22-2020,6:55AM 03-22-2020,,175
348,11:40AM 03-22-2020,12:35PM 03-22-2020,,56
349,4:00PM 03-22-2020,4:45PM 03-22-2020,,45
350,8:31PM 03-22-2020,9:20PM 03-22-2020,,49
351,9:36PM 03-22-2020,12:55AM 03-23-2020,,199
352,2:00AM 03-23-2020,5:30AM 03-23-2020,,210
353,6:45AM 03-23-2020,7:30AM 03-23-2020,,45
354,10:40AM 03-23-2020,11:30AM 03-23-2020,,50
355,5:00PM 03-23-2020,5:20PM 03-23-2020,,20
356,9:20PM 03-23-2020,1:55AM 03-24-2020,,275
357,3:00AM 03-24-2020,3:45AM 03-24-2020,,45
358,4:35AM 03-24-2020,6:35AM 03-24-2020,,120
359,9:30AM 03-24-2020,11:20AM 03-24-2020,,110
360,1:20PM 03-24-2020,2:23PM 03-24-2020,,63
361,3:00PM 03-24-2020,3:48PM 03-24-2020,,48
362,5:20PM 03-24-2020,5:45PM 03-24-2020,,25
363,8:15PM 03-24-2020,8:36PM 03-24-2020,,22
364,9:30PM 03-24-2020,1:15AM 03-25-2020,,225
365,2:20AM 03-25-2020,5:10AM 03-25-2020,,170
366,6:05AM 03-25-2020,7:00AM 03-25-2020,,55
367,7:45AM 03-25-2020,10:50AM 03-25-2020,,185
368,12:45PM 03-25-2020,2:04PM 03-25-2020,,78
369,5:10PM 03-25-2020,6:03PM 03-25-2020,,53
370,8:45PM 03-25-2020,9:45PM 03-25-2020,,60
371,10:05PM 03-25-2020,1:05AM 03-26-2020,,180
372,2:00AM 03-26-2020,5:05AM 03-26-2020,,185
373,6:00AM 03-26-2020,6:45AM 03-26-2020,,45
374,8:55AM 03-26-2020,9:13AM 03-26-2020,,19
375,11:00AM 03-26-2020,11:25AM 03-26-2020,,25
376,1:15PM 03-26-2020,3:10PM 03-26-2020,,116
377,6:45PM 03-26-2020,7:50PM 03-26-2020,,65
378,8:45PM 03-26-2020,1:15AM 03-27-2020,,270
379,2:10AM 03-27-2020,5:30AM 03-27-2020,,200
380,7:30AM 03-27-2020,8:30AM 03-27-2020,,60
381,10:40AM 03-27-2020,12:32PM 03-27-2020,,112
382,2:00PM 03-27-2020,2:50PM 03-27-2020,,50
384,5:50PM 03-27-2020,7:30PM 03-27-2020,,101
385,8:35PM 03-27-2020,9:45PM 03-27-2020,,70
386,10:05PM 03-27-2020,12:40AM 03-28-2020,,155
387,1:45AM 03-28-2020,5:00AM 03-28-2020,,195
388,6:00AM 03-28-2020,6:50AM 03-28-2020,,50
389,9:10AM 03-28-2020,10:00AM 03-28-2020,,50
390,12:00PM 03-28-2020,12:45PM 03-28-2020,,45
391,3:20PM 03-28-2020,5:07PM 03-28-2020,,107
392,6:10PM 03-28-2020,6:50PM 03-28-2020,,40
393,8:40PM 03-28-2020,1:45AM 03-29-2020,,305
394,2:40AM 03-29-2020,4:45AM 03-29-2020,,125
395,5:35AM 03-29-2020,6:10AM 03-29-2020,,35
396,8:35AM 03-29-2020,9:15AM 03-29-2020,,40
397,11:25AM 03-29-2020,12:00PM 03-29-2020,,35
398,3:15PM 03-29-2020,5:35PM 03-29-2020,,139
399,7:55PM 03-29-2020,1:00AM 03-30-2020,,305
400,2:00AM 03-30-2020,5:30AM 03-30-2020,,210
401,6:25AM 03-30-2020,7:15AM 03-30-2020,,50
402,8:50AM 03-30-2020,9:50AM 03-30-2020,,60
403,11:30AM 03-30-2020,12:00PM 03-30-2020,,30
404,5:05PM 03-30-2020,5:55PM 03-30-2020,,49
405,8:10PM 03-30-2020,12:55AM 03-31-2020,,285
406,2:00AM 03-31-2020,3:20AM 03-31-2020,,80
407,4:05AM 03-31-2020,6:30AM 03-31-2020,,145
409,8:50AM 03-31-2020,9:34AM 03-31-2020,,44
410,11:20AM 03-31-2020,12:00PM 03-31-2020,,40
411,2:50PM 03-31-2020,3:30PM 03-31-2020,,40
412,4:17PM 03-31-2020,6:02PM 03-31-2020,,105
413,8:35PM 03-31-2020,2:05AM 04-01-2020,,330
